Track name, Artist name, Album, Playlist name, Type, ISRC
Flor de Lis,Djavan,A Voz e o Violão,O Melhor da MPB,Playlist track,BRSGL7600021
Refavela,Gilberto Gil,Refavela,O Melhor da MPB,Playlist track,BRGPG1900062
Reconvexo - Ao Vivo,Caetano Veloso,Ofertório (Ao Vivo),O Melhor da MPB,Playlist track,BR3UN1800045
Relicário - Ao Vivo,Cássia Eller,Acústico (Ao Vivo),O Melhor da MPB,Playlist track,BRMCA0100113
Como Nossos Pais,Elis Regina,Elis Regina Em Falso Brilhante,O Melhor da MPB,Playlist track,BRPAD7600004
Dia Branco - Ao Vivo | Bonus Track,Geraldo Azevedo,Solo Contigo (ao Vivo) - Deluxe Edition,O Melhor da MPB,Playlist track,BRGPL1900009
Devolva-Me (Ao Vivo),Adriana Calcanhotto,Público,O Melhor da MPB,Playlist track,BRBMG0000096
Chega de Saudade,João Gilberto,Rosa Morena,O Melhor da MPB,Playlist track,QMDA61350236
Futuros Amantes,Chico Buarque,Chico Buarque Essencial (Box),O Melhor da MPB,Playlist track,BRBMG9300014
Sorte,Ney Matogrosso,Sorte,O Melhor da MPB,Playlist track,BRMUD1800005
Chuva de Prata - Ao Vivo,Gal Costa,A Pele do Futuro Ao Vivo,O Melhor da MPB,Playlist track,BRPUI1900218
Se Eu Quiser Falar Com Deus,Gilberto Gil,Se Eu Quiser Falar Com Deus,O Melhor da MPB,Playlist track,BRGPG1900015
Bom-Senso,Tim Maia,Racional (Vol 1),O Melhor da MPB,Playlist track,BRVRD0500003
Aquele Abraço,Gilberto Gil,Gilberto Gil (1969),O Melhor da MPB,Playlist track,BRUM71200158
O Que É Que Há,Gal Costa,O Que É Que Há,O Melhor da MPB,Playlist track,BRPUI1900167
Clube Da Esquina Nº2 - Acústico,Milton Nascimento,Nada Será Como Antes (Acústico),O Melhor da MPB,Playlist track,BRNMT0800014
Carnavália - Ao Vivo,Tribalistas,Carnavália (Ao Vivo),O Melhor da MPB,Playlist track,BRONE1900003
Sabiá - Ao Vivo,Chico Buarque,Caravanas Ao Vivo,O Melhor da MPB,Playlist track,BRPUI1800368
A Festa - Acústico,Milton Nascimento,A Festa (Acústico),O Melhor da MPB,Playlist track,BRNMT0800013
É O Que Me Interessa - Ao Vivo,Lenine,Lenine Em Trânsito (Ao Vivo / Deluxe),O Melhor da MPB,Playlist track,BRM6L1800030
Apenas Mais uma de Amor,Lulu Santos,Lulu Acústico,O Melhor da MPB,Playlist track,BRBMG0000302
A Paz,Yahoo,A Paz,O Melhor da MPB,Playlist track,BRAPI1800110
Como Vai Você,Nando Reis,Como Vai Você,O Melhor da MPB,Playlist track,BR7OQ1900020
O Tempo Não Para,Elza Soares,O Tempo Não Para,O Melhor da MPB,Playlist track,BRDEP1800055
O Segundo Sol: Turnê Jardim-Pomar (Ao Vivo em Porto Alegre),Nando Reis,O Segundo Sol: Turnê Jardim-Pomar (Ao Vivo em Porto Alegre),O Melhor da MPB,Playlist track,BR7OQ1800003
Olhos Nos Olhos,Maria Bethânia,Pássaro Proibido,O Melhor da MPB,Playlist track,BRPGD7600006
Canto de Ossanha,Toquinho,Os Primeiros Anos,O Melhor da MPB,Playlist track,BRSGL6600103
Entre a Serpente e a Estrela - Ao Vivo,Zé Ramalho,Zé Ramalho Na Paraíba (Ao Vivo),O Melhor da MPB,Playlist track,BR2RA1800084
Paisagem da Janela - Ao Vivo,Lô Borges,Tênis + Clube - Ao Vivo No Circo Voador,O Melhor da MPB,Playlist track,BRLBM1800044
Construção,Chico Buarque,Construção,O Melhor da MPB,Playlist track,BRPGD7100036
Corra e Olhe o Céu - Ao Vivo,Teresa Cristina,Corra e Olhe o Céu (Ao Vivo),O Melhor da MPB,Playlist track,US7VG1544538
Pérola Negra - Ao Vivo,Gal Costa,Estratosférica Ao Vivo,O Melhor da MPB,Playlist track,BRPUI1700297
Aliança,Tribalistas,Tribalistas,O Melhor da MPB,Playlist track,BRONE1700004
A Sua / Sampler: Coqueiro De Itapoan,Marisa Monte,Marisa Monte,O Melhor da MPB,Playlist track,BRONE0500079
Eu Sei Que Vou Te Amar,Vinícius,Bossa Nova,O Melhor da MPB,Playlist track,ARG990900590
